area_name,latitude,longitude,pincode,population,male_population,female_population,literacy_rate,unemployment_rate,poverty_rate,total_crimes,murders,rapes,robberies,assaults,kidnappings,drug_related_crimes,domestic_violence_cases,crime_rate_per_1000,number_of_police_stations,number_of_cctv_cameras,police_patrolling_frequency,response_time,avg_income,education_index,slum_population,employment_type_distribution,crime_trends_last_5_years,crime_peak_hours,seasonal_crime_trends,perceived_safety_index,reported_missing_persons,risk_index,risk_category
Rajaji Park,13.13049,80.387909,600017,19127,9820,9307,69.24,10.24,14.17,859,21,30,63,23,16,49,48,44.91,3,384,Low,29.82,35076,0.46,183,"{'IT': 33, 'Manufacturing': 22, 'Unskilled Labor': 32}","{'2019': 547, '2020': 340, '2021': 1810, '2022': 1831, '2023': 2965}",6 PM - 10 PM,High during festival seasons,6.84,3,45.66,Low
Kailasapuram,12.888904,80.378071,600038,262099,129929,132170,92.14,12.28,38.98,1194,35,25,117,114,41,147,115,4.56,2,38,Moderate,26.82,46065,0.93,52738,"{'IT': 26, 'Manufacturing': 17, 'Unskilled Labor': 35}","{'2019': 292, '2020': 758, '2021': 920, '2022': 257, '2023': 2936}",10 PM - 2 AM,No significant pattern,5.76,9,91.86,High
Kayathar,12.946194,80.142256,600088,148307,75580,72727,77.17,12.9,27.2,765,17,6,21,49,24,6,47,5.16,5,26,Low,23.71,45828,0.84,29332,"{'IT': 20, 'Manufacturing': 17, 'Unskilled Labor': 35}","{'2019': 2411, '2020': 707, '2021': 1355, '2022': 1701, '2023': 500}",6 PM - 10 PM,No significant pattern,7.99,10,64.31,Moderate
Arumuganeri,13.064324,80.371663,600071,86763,43005,43758,90.56,9.06,33.96,2505,76,17,154,30,69,299,83,28.87,2,374,High,22.0,27546,0.51,5953,"{'IT': 25, 'Manufacturing': 37, 'Unskilled Labor': 25}","{'2019': 2195, '2020': 2007, '2021': 607, '2022': 1066, '2023': 2849}",2 AM - 6 AM,Higher in summer,6.38,28,76.5,Moderate
Punnakayal,12.896588,80.144548,600039,28431,14165,14266,83.92,11.66,16.13,1533,5,54,121,63,15,226,59,53.92,1,364,Moderate,29.21,18935,0.6,3814,"{'IT': 20, 'Manufacturing': 34, 'Unskilled Labor': 21}","{'2019': 1193, '2020': 352, '2021': 2901, '2022': 1791, '2023': 2088}",10 PM - 2 AM,No significant pattern,6.28,14,4.67,Low
Eral,12.887408,80.247441,600034,39435,19783,19652,77.91,6.39,31.5,408,3,8,27,44,20,7,4,10.35,5,399,High,26.82,42138,0.62,9969,"{'IT': 11, 'Manufacturing': 22, 'Unskilled Labor': 21}","{'2019': 611, '2020': 2717, '2021': 609, '2022': 2198, '2023': 1850}",2 AM - 6 AM,High during festival seasons,5.25,21,80.04,High
Pazhayakayal,13.062336,80.209633,600090,414051,207030,207021,60.44,14.28,5.75,295,1,1,22,11,5,24,7,0.71,1,215,Moderate,12.41,46320,0.5,31517,"{'IT': 13, 'Manufacturing': 44, 'Unskilled Labor': 11}","{'2019': 355, '2020': 2811, '2021': 2635, '2022': 1492, '2023': 106}",2 AM - 6 AM,Higher in summer,7.3,16,53.52,Moderate
Ottapidaram,13.186587,80.255247,600002,244088,124356,119732,79.58,14.0,10.87,823,23,24,28,143,2,69,30,3.37,4,363,Moderate,28.62,48070,0.26,51965,"{'IT': 22, 'Manufacturing': 48, 'Unskilled Labor': 27}","{'2019': 1560, '2020': 1081, '2021': 1911, '2022': 1303, '2023': 197}",2 AM - 6 AM,Higher in summer,8.9,3,52.35,Moderate
Harbour Estate,12.842917,80.288278,600073,409725,203557,206168,62.1,13.24,39.01,2995,142,119,223,271,125,67,56,7.31,5,141,Low,24.63,17865,0.93,89777,"{'IT': 17, 'Manufacturing': 16, 'Unskilled Labor': 30}","{'2019': 1846, '2020': 796, '2021': 2716, '2022': 2934, '2023': 2634}",10 PM - 2 AM,No significant pattern,5.76,31,6.27,Low
P & T Colony,12.882998,80.133848,600077,475811,237016,238795,75.28,12.39,20.76,1120,4,9,81,68,53,74,76,2.35,2,165,Moderate,17.95,14439,0.31,57818,"{'IT': 32, 'Manufacturing': 48, 'Unskilled Labor': 10}","{'2019': 1148, '2020': 1913, '2021': 499, '2022': 1812, '2023': 2415}",2 AM - 6 AM,Higher in summer,6.13,37,37.58,Low
